name,facility_type,operator_type,city,state_region,latitude,longitude,specialties,procedures,equipment,capabilities,status,beds
Beijing Union Medical College Hospital,hospital,public,Beijing,Beijing,39.9042,116.4074,"internalMedicine,cardiology,oncology,neurology,orthopedics","cardiac_surgery,chemotherapy,brain_surgery,joint_replacement,transplant","CT_Scanner,MRI,PET_Scanner,Linear_Accelerator,Robotic_Surgery","Level_4_Trauma,ICU,NICU,Cardiac_ICU,Burn_Unit",operational,2000
Peking University First Hospital,hospital,public,Beijing,Beijing,39.9310,116.3700,"internalMedicine,nephrology,urology,gastroenterology,dermatology","dialysis,kidney_transplant,endoscopy,lithotripsy","CT_Scanner,MRI,Ultrasound,Dialysis_Machines","Level_3_Trauma,ICU,Dialysis_Center",operational,1800
Shanghai Changzheng Hospital,hospital,public,Shanghai,Shanghai,31.2304,121.4737,"orthopedics,burns,plastic_surgery,trauma,rehabilitation","burn_treatment,skin_grafts,microsurgery,spinal_fusion","CT_Scanner,MRI,Hyperbaric_Chamber,Skin_Bank","Level_4_Trauma,Burn_Center,ICU",operational,1600
Zhongshan Hospital Fudan University,hospital,public,Shanghai,Shanghai,31.1954,121.4477,"cardiology,hepatology,gastroenterology,pulmonology,endocrinology","cardiac_surgery,liver_transplant,ERCP,bronchoscopy","CT_Scanner,MRI,Cardiac_Cath_Lab,ECMO","Level_4_Trauma,Cardiac_ICU,Liver_Center",operational,2200
West China Hospital,hospital,public,Chengdu,Sichuan,30.6376,104.0851,"internalMedicine,surgery,pediatrics,oncology,psychiatry","general_surgery,pediatric_surgery,chemotherapy,neurosurgery","CT_Scanner,MRI,Linear_Accelerator,Gamma_Knife","Level_4_Trauma,ICU,PICU,Cancer_Center",operational,4300
Guangdong Provincial People's Hospital,hospital,public,Guangzhou,Guangdong,23.1291,113.2644,"cardiology,neurology,ophthalmology,ENT,oncology","cardiac_surgery,stroke_treatment,cataract_surgery,cochlear_implant","CT_Scanner,MRI,Angio_Suite,Surgical_Microscope","Level_4_Trauma,Stroke_Center,Eye_Center",operational,2800
Sir Run Run Shaw Hospital,hospital,private,Hangzhou,Zhejiang,30.2741,120.1551,"gastroenterology,hepatology,urology,oncology,minimally_invasive","laparoscopic_surgery,robotic_surgery,HIFU,endoscopy","CT_Scanner,MRI,Da_Vinci_Robot,HIFU_Device","Level_3_Trauma,Minimally_Invasive_Center",operational,1200
Tongji Hospital,hospital,public,Wuhan,Hubei,30.5928,114.2936,"internalMedicine,surgery,gynecologyAndObstetrics,pediatrics,infectious_disease","general_surgery,c_section,pediatric_care,infectious_disease_treatment","CT_Scanner,MRI,Isolation_Ward,Negative_Pressure","Level_4_Trauma,Infectious_Disease_Center,ICU",operational,3000
Xiangya Hospital,hospital,public,Changsha,Hunan,28.2282,112.9388,"neurology,oncology,dermatology,psychiatry,rehabilitation","brain_surgery,chemotherapy,phototherapy,psychotherapy","CT_Scanner,MRI,Gamma_Knife,EEG","Level_3_Trauma,Neuro_Center,Psych_Unit",operational,2500
Qilu Hospital,hospital,public,Jinan,Shandong,36.6512,117.1201,"cardiology,hepatology,nephrology,hematology,rheumatology","cardiac_surgery,liver_surgery,dialysis,bone_marrow_transplant","CT_Scanner,MRI,Cardiac_Cath_Lab,Dialysis_Machines","Level_4_Trauma,Cardiac_Center,Hematology_Unit",operational,2100
Xijing Hospital,hospital,public,Xi'an,Shaanxi,34.2650,108.9400,"ophthalmology,ENT,dermatology,burns,plastic_surgery","LASIK,cochlear_implant,burn_treatment,reconstructive_surgery","Excimer_Laser,CT_Scanner,MRI,Skin_Bank","Eye_Center,Burn_Center,Level_3_Trauma",operational,1900
The First Affiliated Hospital of Harbin Medical University,hospital,public,Harbin,Heilongjiang,45.8038,126.5350,"internalMedicine,cardiology,neurology,oncology,geriatrics","cardiac_surgery,stroke_treatment,chemotherapy,geriatric_care","CT_Scanner,MRI,Cardiac_Cath_Lab,Linear_Accelerator","Level_3_Trauma,Cardiac_Center,Cancer_Center",operational,1700
Ruijin Hospital,hospital,public,Shanghai,Shanghai,31.2097,121.4601,"endocrinology,hematology,cardiology,gastroenterology,infectious_disease","insulin_therapy,bone_marrow_transplant,ERCP,hepatitis_treatment","CT_Scanner,MRI,Flow_Cytometer,Endoscopy_Suite","Diabetes_Center,Hematology_Center,ICU",operational,1900
Peking University People's Hospital,hospital,public,Beijing,Beijing,39.9350,116.3600,"orthopedics,hematology,trauma,rheumatology,sports_medicine","joint_replacement,bone_marrow_transplant,fracture_repair,arthroscopy","CT_Scanner,MRI,Arthroscope,Flow_Cytometer","Level_4_Trauma,Sports_Medicine_Center,Hematology",operational,1700
The Affiliated Hospital of Inner Mongolia Medical University,hospital,public,Hohhot,Inner Mongolia,40.8420,111.7490,"internalMedicine,surgery,pediatrics,gynecologyAndObstetrics","general_surgery,c_section,pediatric_care","CT_Scanner,MRI,Ultrasound","Level_2_Trauma,ICU",operational,1200
Xinjiang Medical University First Affiliated Hospital,hospital,public,Urumqi,Xinjiang,43.8256,87.6168,"internalMedicine,surgery,oncology,cardiology","general_surgery,chemotherapy,cardiac_surgery","CT_Scanner,MRI,Linear_Accelerator","Level_3_Trauma,Cancer_Center",operational,2200
Qinghai Provincial People's Hospital,hospital,public,Xining,Qinghai,36.6171,101.7782,"internalMedicine,high_altitude_medicine,surgery,emergency","altitude_sickness_treatment,general_surgery,emergency_care","CT_Scanner,Ultrasound,Oxygen_Therapy","Level_2_Trauma,High_Altitude_Center",limited,800
Tibet Autonomous Region People's Hospital,hospital,public,Lhasa,Tibet,29.6500,91.1000,"internalMedicine,emergency,high_altitude_medicine","altitude_sickness_treatment,emergency_care,basic_surgery","CT_Scanner,Ultrasound,Oxygen_Concentrators","Level_2_Trauma,High_Altitude_Medicine",limited,500
Lanzhou University First Hospital,hospital,public,Lanzhou,Gansu,36.0611,103.8343,"internalMedicine,surgery,oncology,nephrology","general_surgery,chemotherapy,dialysis","CT_Scanner,MRI,Dialysis_Machines","Level_3_Trauma,Cancer_Center,Dialysis",operational,1500
Guizhou Provincial People's Hospital,hospital,public,Guiyang,Guizhou,26.6477,106.6302,"internalMedicine,surgery,pediatrics,ophthalmology","general_surgery,pediatric_care,cataract_surgery","CT_Scanner,MRI,Surgical_Microscope","Level_3_Trauma,Eye_Center",operational,1800
Yunnan First People's Hospital,hospital,public,Kunming,Yunnan,25.0389,102.7183,"internalMedicine,tropical_medicine,surgery,oncology","tropical_disease_treatment,general_surgery,chemotherapy","CT_Scanner,MRI,PCR_Lab","Level_3_Trauma,Tropical_Disease_Center",operational,1600
Ningxia Medical University General Hospital,hospital,public,Yinchuan,Ningxia,38.4680,106.2730,"internalMedicine,surgery,cardiology,pediatrics","cardiac_surgery,general_surgery,pediatric_care","CT_Scanner,MRI,Cardiac_Cath_Lab","Level_3_Trauma,Cardiac_Center",operational,1400
Diqing Tibetan Autonomous Prefecture People's Hospital,hospital,public,Shangri-La,Yunnan,27.8333,99.7000,"internalMedicine,emergency,high_altitude_medicine","altitude_sickness,emergency_care","Ultrasound,X_Ray,Oxygen","Level_1_Trauma,Basic_Emergency",critical,150
Ngari Prefecture People's Hospital,hospital,public,Shiquanhe,Tibet,32.5000,80.0833,"emergency,internalMedicine","basic_emergency,altitude_sickness","X_Ray,Oxygen_Concentrators","Basic_Emergency",critical,80
Haixi Mongolian and Tibetan Autonomous Prefecture People's Hospital,hospital,public,Delingha,Qinghai,37.3697,97.3686,"internalMedicine,surgery,emergency","general_surgery,emergency_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,300
Aba Tibetan and Qiang Autonomous Prefecture People's Hospital,hospital,public,Barkam,Sichuan,31.9050,102.2210,"internalMedicine,surgery,emergency,pediatrics","general_surgery,emergency_care,pediatric_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,400
Ganzi Tibetan Autonomous Prefecture People's Hospital,hospital,public,Kangding,Sichuan,30.0500,101.9667,"internalMedicine,surgery,obstetrics","general_surgery,c_section,emergency_care","CT_Scanner,Ultrasound,X_Ray","Level_2_Trauma",limited,350
Liangshan Yi Autonomous Prefecture First People's Hospital,hospital,public,Xichang,Sichuan,27.8946,102.2634,"internalMedicine,surgery,pediatrics,infectious_disease","general_surgery,pediatric_care,TB_treatment","CT_Scanner,Ultrasound,PCR_Lab","Level_2_Trauma,TB_Center",limited,600
Wenshan Zhuang and Miao Autonomous Prefecture People's Hospital,hospital,public,Wenshan,Yunnan,23.3697,104.2439,"internalMedicine,surgery,oncology","general_surgery,chemotherapy","CT_Scanner,MRI","Level_2_Trauma",limited,500
Qiandongnan Miao and Dong Autonomous Prefecture People's Hospital,hospital,public,Kaili,Guizhou,26.5833,107.9833,"internalMedicine,surgery,pediatrics","general_surgery,pediatric_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,450
Tongren Rural Health Center,clinic,public,Tongren,Guizhou,27.7167,109.1833,"generalPractice","basic_care,vaccinations","Basic_Equipment","Primary_Care",operational,20
Zhangye Rural Health Station,clinic,public,Zhangye,Gansu,38.9355,100.4491,"generalPractice","basic_care,maternal_health","Basic_Equipment,Ultrasound","Primary_Care,Maternal_Care",operational,15
Yushu County Hospital,hospital,public,Yushu,Qinghai,33.0167,97.0167,"emergency,internalMedicine,obstetrics","emergency_care,c_section,basic_surgery","Ultrasound,X_Ray,Oxygen","Level_1_Trauma,Basic_Obstetrics",critical,120
Nagqu Prefecture Hospital,hospital,public,Nagqu,Tibet,31.4760,92.0510,"emergency,internalMedicine","altitude_sickness,emergency_care,basic_medicine","Ultrasound,Oxygen,Basic_Lab","Level_1_Trauma",critical,100
Shigatse People's Hospital,hospital,public,Shigatse,Tibet,29.2670,88.8800,"internalMedicine,surgery,obstetrics,emergency","general_surgery,c_section,emergency_care","CT_Scanner,Ultrasound,X_Ray","Level_2_Trauma",limited,400
Chamdo Regional Hospital,hospital,public,Chamdo,Tibet,31.1369,97.1784,"internalMedicine,surgery,pediatrics","general_surgery,pediatric_care,emergency","CT_Scanner,Ultrasound","Level_2_Trauma",limited,350
Nyingchi People's Hospital,hospital,public,Nyingchi,Tibet,29.6486,94.3624,"internalMedicine,surgery,obstetrics","general_surgery,c_section,emergency_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,300
Hulunbuir People's Hospital,hospital,public,Hailar,Inner Mongolia,49.2122,119.7460,"internalMedicine,surgery,pediatrics,emergency","general_surgery,pediatric_care,emergency_care","CT_Scanner,MRI,Ultrasound","Level_3_Trauma,ICU",operational,800
Chifeng Municipal Hospital,hospital,public,Chifeng,Inner Mongolia,42.2574,118.9304,"internalMedicine,surgery,oncology,cardiology","general_surgery,chemotherapy,cardiac_care","CT_Scanner,MRI,Linear_Accelerator","Level_3_Trauma,Cancer_Center",operational,1200
Baotou Central Hospital,hospital,public,Baotou,Inner Mongolia,40.6571,109.8400,"internalMedicine,surgery,orthopedics,neurology","general_surgery,joint_replacement,stroke_treatment","CT_Scanner,MRI,Cardiac_Cath_Lab","Level_3_Trauma,Stroke_Center",operational,1100
